comment_score KDE Curve Data
============================

          x  kde_density
 -21.000000 4.621753e-03
  -0.592965 6.460129e-03
  19.814070 7.335649e-03
  40.221106 6.866605e-03
  60.628141 5.422019e-03
  81.035176 3.742509e-03
 101.442211 2.377020e-03
 121.849246 1.480689e-03
 142.256281 9.610938e-04
 162.663317 6.728892e-04
 183.070352 5.075164e-04
 203.477387 4.025525e-04
 223.884422 3.264124e-04
 244.291457 2.642045e-04
 264.698492 2.107089e-04
 285.105528 1.676979e-04
 305.512563 1.400070e-04
 325.919598 1.296420e-04
 346.326633 1.321560e-04
 366.733668 1.378837e-04
 387.140704 1.369938e-04
 407.547739 1.252326e-04
 427.954774 1.060359e-04
 448.361809 8.694998e-05
 468.768844 7.368760e-05
 489.175879 6.696408e-05
 509.582915 6.377326e-05
 529.989950 6.109660e-05
 550.396985 5.877766e-05
 570.804020 5.904864e-05
 591.211055 6.315635e-05
 611.618090 6.874544e-05
 632.025126 7.124810e-05
 652.432161 6.811462e-05
 672.839196 6.128000e-05
 693.246231 5.529908e-05
 713.653266 5.337550e-05
 734.060302 5.521286e-05
 754.467337 5.811317e-05
 774.874372 5.928130e-05
 795.281407 5.688716e-05
 815.688442 5.026979e-05
 836.095477 4.057220e-05
 856.502513 3.067869e-05
 876.909548 2.325551e-05
 897.316583 1.890524e-05
 917.723618 1.667517e-05
 938.130653 1.566624e-05
 958.537688 1.544249e-05
 978.944724 1.544757e-05
 999.351759 1.486005e-05
1019.758794 1.308485e-05
1040.165829 1.023782e-05
1060.572864 7.225679e-06
1080.979899 5.283322e-06
1101.386935 5.147248e-06
1121.793970 6.480438e-06
1142.201005 8.137155e-06
1162.608040 9.170662e-06
1183.015075 9.603639e-06
1203.422111 1.004683e-05
1223.829146 1.065462e-05
1244.236181 1.081325e-05
1264.643216 9.942675e-06
1285.050251 8.284982e-06
1305.457286 6.620814e-06
1325.864322 5.362400e-06
1346.271357 4.281114e-06
1366.678392 3.086297e-06
1387.085427 1.900005e-06
1407.492462 1.116861e-06
1427.899497 1.135866e-06
1448.306533 2.370888e-06
1468.713568 5.219430e-06
1489.120603 9.573398e-06
1509.527638 1.422101e-05
1529.934673 1.712221e-05
1550.341709 1.684409e-05
1570.748744 1.384554e-05
1591.155779 1.005182e-05
1611.562814 7.098964e-06
1631.969849 5.235493e-06
1652.376884 3.848709e-06
1672.783920 2.531256e-06
1693.190955 1.383175e-06
1713.597990 6.243438e-07
1734.005025 3.055991e-07
1754.412060 3.855524e-07
1774.819095 8.746556e-07
1795.226131 1.773691e-06
1815.633166 2.863488e-06
1836.040201 3.679503e-06
1856.447236 3.880976e-06
1876.854271 3.648569e-06
1897.261307 3.512412e-06
1917.668342 3.710534e-06
1938.075377 3.889153e-06
1958.482412 3.546238e-06
1978.889447 2.627590e-06
1999.296482 1.545652e-06
2019.703518 7.303580e-07
2040.110553 3.392099e-07
2060.517588 3.549686e-07
2080.924623 7.796304e-07
2101.331658 1.622396e-06
2121.738693 2.692094e-06
2142.145729 3.504629e-06
2162.552764 3.574968e-06
2182.959799 2.859809e-06
2203.366834 1.808771e-06
2223.773869 9.683345e-07
2244.180905 6.506502e-07
2264.587940 9.516692e-07
2284.994975 1.868828e-06
2305.402010 3.281273e-06
2325.809045 4.935699e-06
2346.216080 6.572278e-06
2366.623116 7.939711e-06
2387.030151 8.599963e-06
2407.437186 8.033851e-06
2427.844221 6.221219e-06
2448.251256 3.886943e-06
2468.658291 1.930080e-06
2489.065327 7.559252e-07
2509.472362 2.326678e-07
2529.879397 5.618313e-08
2550.286432 1.063516e-08
2570.693467 1.577581e-09
2591.100503 1.833478e-10
2611.507538 1.669409e-11
2631.914573 1.190796e-12
2652.321608 6.654142e-14
2672.728643 2.912890e-15
2693.135678 9.989220e-17
2713.542714 2.683577e-18
2733.949749 5.647693e-20
2754.356784 9.311134e-22
2774.763819 1.202565e-23
2795.170854 1.216714e-25
2815.577889 9.643689e-28
2835.984925 5.987866e-30
2856.391960 2.912563e-32
2876.798995 1.109821e-34
2897.206030 3.312872e-37
2917.613065 7.746951e-40
2938.020101 1.419160e-42
2958.427136 2.036602e-45
2978.834171 2.289577e-48
2999.241206 2.016409e-51
3019.648241 1.391158e-54
3040.055276 7.518799e-58
3060.462312 3.183427e-61
3080.869347 1.055883e-64
3101.276382 2.743536e-68
3121.683417 5.584445e-72
3142.090452 8.904790e-76
3162.497487 1.112351e-79
3182.904523 1.088514e-83
3203.311558 8.344507e-88
3223.718593 6.021566e-91
3244.125628 8.511156e-87
3264.532663 1.027962e-82
3284.939698 9.726133e-79
3305.346734 7.209041e-75
3325.753769 4.185903e-71
3346.160804 1.904036e-67
3366.567839 6.784773e-64
3386.974874 1.893956e-60
3407.381910 4.141702e-57
3427.788945 7.095158e-54
3448.195980 9.521812e-51
3468.603015 1.001040e-47
3489.010050 8.244373e-45
3509.417085 5.319100e-42
3529.824121 2.688394e-39
3550.231156 1.064442e-36
3570.638191 3.301609e-34
3591.045226 8.022383e-32
3611.452261 1.527058e-29
3631.859296 2.277099e-27
3652.266332 2.660006e-25
3672.673367 2.434208e-23
3693.080402 1.745047e-21
3713.487437 9.800108e-20
3733.894472 4.311505e-18
3754.301508 1.485940e-16
3774.708543 4.011880e-15
3795.115578 8.485334e-14
3815.522613 1.405932e-12
3835.929648 1.824878e-11
3856.336683 1.855572e-10
3876.743719 1.478074e-09
3897.150754 9.223350e-09
3917.557789 4.508744e-08
3937.964824 1.726620e-07
3958.371859 5.179793e-07
3978.778894 1.217313e-06
3999.185930 2.241127e-06
4019.592965 3.232251e-06
4040.000000 3.651891e-06
